%year,month,precipitation anomalies, PDSI
1977,8,1.57,0.79
1977,9,1.3125,1.41
1977,10,-1.2568,1.01
1977,11,1.0233,1.36
1977,12,3.031,2.23
1978,1,-1.3604,-0.35
1978,2,-0.97565,-0.77
1978,3,-1.491,-1.36
1978,4,0.72275,0.45
1978,5,0.39971,0.79
1978,6,-0.6142,0.37
1978,7,0.56116,0.64
1978,8,1.29,1.41
1978,9,2.0325,2.32
1978,10,-3.0068,-0.81
1978,11,-1.9067,-1.11
1978,12,-2.979,-2.04
1979,1,-4.0204,-2.96
1979,2,2.5843,-1.7
1979,3,-1.911,-2.33
1979,4,-0.39725,-2.15
1979,5,-0.70029,-2.24
1979,6,-0.9542,-2.55
1979,7,0.18116,-2.58
1979,8,0.21,-2.35
1979,9,0.18246,-2.2
1979,10,0.53319,-1.91
1979,11,-3.6167,-2.64
1979,12,2.801,0.84
1980,1,-0.91043,0.54
1980,2,1.1943,0.88
1980,3,-0.70101,0.59
1980,4,0.10275,0.52
1980,5,0.22971,0.66
1980,6,0.4558,0.95
1980,7,-0.18884,1.17
1980,8,-0.02,1.23
1980,9,0.66246,1.41
1980,10,-2.5468,-0.89
1980,11,1.2333,0.38
1980,12,1.911,0.9
1981,1,-4.0804,-1.25
1981,2,1.4143,-0.7
1981,3,-1.621,-1.38
1981,4,1.0528,0.62
1981,5,0.50971,0.93
1981,6,1.6958,1.83
1981,7,0.18116,2.3
1981,8,-0.73,2.13
1981,9,0.84246,2.28
1981,10,1.1232,2.6
1981,11,-1.3267,2.01
1981,12,1.421,2.26
1982,1,1.3196,2.47
1982,2,2.5543,3.13
1982,3,-0.46101,2.68
1982,4,0.65275,3.01
1982,5,-1.3303,2.2
1982,6,-0.3242,1.63
1982,7,0.65116,1.55
1982,8,-0.07,1.35
1982,9,0.64246,1.46
1982,10,0.75319,1.63
1982,11,-1.3267,1.26
1982,12,1.011,1.45
1983,1,1.4596,1.7
1983,2,1.7543,2
1983,3,1.909,2.45
1983,4,-0.80725,1.92
1983,5,-0.62029,1.41
1983,6,0.6858,1.6
1983,7,2.1612,2.83
1983,8,0.38,3.26
1983,9,0.30246,3.23
1983,10,-2.0168,2.36
1983,11,4.9033,3.62
1983,12,-1.589,2.68
1984,1,-0.55043,2.29
1984,2,-0.26565,1.86
1984,3,0.33899,1.72
1984,4,0.48275,1.96
1984,5,1.9297,2.97
1984,6,1.3058,3.43
1984,7,-0.72884,3.19
1984,8,-0.48,2.77
1984,9,0.24246,2.65
1984,10,0.22319,2.62
1984,11,2.7033,3.31
1984,12,-1.549,-0.56
1985,1,-5.5204,-2.07
1985,2,-1.1957,-2.27
1985,3,-1.121,-2.35
1985,4,-0.52725,-2.3
1985,5,-0.80029,-2.42
1985,6,0.1458,-2.16
1985,7,-0.72884,-2.52
1985,8,-0.29,-2.64
1985,9,0.91246,-1.89
1985,10,2.3132,-0.76
1985,11,-1.7167,-0.92
1985,12,-4.799,-2.49
1986,1,1.1296,-1.88
1986,2,1.3343,-1.23
1986,3,-0.93101,-1.62
1986,4,-0.37725,-1.45
1986,5,0.29971,-1.09
1986,6,-0.9842,-1.56
1986,7,0.33116,-1.35
1986,8,-0.92,-1.77
1986,9,1.2425,-0.97
1986,10,-1.4068,-1.41
1986,11,1.3533,-0.81
1986,12,-2.759,-1.69
1987,1,-0.68043,-1.67
1987,2,-1.4857,-2.17
1987,3,0.91899,-1.64
1987,4,-0.57725,-1.85
1987,5,0.34971,-1.52
1987,6,-1.0042,-1.93
1987,7,0.54116,-1.65
1987,8,-0.59,-1.81
1987,9,-1.3375,-2.46
1987,10,-3.6068,-3.69
1987,11,-2.9367,-4.27
1987,12,1.481,-3.35
1988,1,-1.9304,-3.52
1988,2,-2.2057,-4.07
1988,3,1.049,-3.22
1988,4,1.0728,-2.4
1988,5,0.69971,-1.71
1988,6,-0.034203,-1.48
1988,7,-0.14884,-1.15
1988,8,-0.77,-1.39
1988,9,0.32246,-1.16
1988,10,-1.4768,-1.77
1988,11,2.4433,-0.84
1988,12,-2.389,-1.6
1989,1,-0.93043,-1.65
1989,2,-1.6457,-2.06
1989,3,1.389,-1.17
1989,4,-0.14725,-1.19
1989,5,0.35971,-0.78
1989,6,-0.8742,-1.17
1989,7,-0.10884,-1.18
1989,8,0.47,-0.78
1989,9,-1.4975,-1.53
1989,10,-0.72681,-1.66
1989,11,-0.096667,-1.52
1989,12,-2.949,-2.44
1990,1,2.9296,0.85
1990,2,1.2843,1.25
1990,3,-1.661,0.4
1990,4,-0.14725,0.19
1990,5,0.91971,0.77
1990,6,0.9258,1.21
1990,7,-0.038841,1.54
1990,8,0.75,1.88
1990,9,-1.6375,0.71
1990,10,2.2932,1.55
1990,11,3.1533,2.45
1990,12,-1.159,1.78
1991,1,-1.5804,1.18
1991,2,0.51435,1
1991,3,-0.23101,0.92
1991,4,1.5628,1.66
1991,5,0.46971,1.9
1991,6,0.5858,2.15
1991,7,-0.24884,2.28
1991,8,0.73,2.57
1991,9,-1.6175,-0.9
1991,10,-2.2068,-1.61
1991,11,1.2933,-1.03
1991,12,-2.109,-1.74
1992,1,0.73957,-1.35
1992,2,-0.87565,-1.75
1992,3,-3.381,-3.17
1992,4,1.2028,-2.46
1992,5,-1.7703,-3.18
1992,6,0.1958,-3.22
1992,7,0.83116,-2.91
1992,8,-0.33,-2.93
1992,9,0.30246,-2.51
1992,10,-1.4068,-2.85
1992,11,-0.23667,-2.58
1992,12,-1.459,-2.84
1993,1,-2.1604,-3.13
1993,2,-3.7957,-4.16
1993,3,-0.42101,-3.87
1993,4,2.1128,1.1
1993,5,0.65971,1.15
1993,6,0.9058,1.53
1993,7,1.6612,2.72
1993,8,-0.27,2.94
1993,9,-1.5075,-0.7
1993,10,-2.1468,-1.43
1993,11,-3.9567,-2.34
1993,12,-0.71899,-2.38
1994,1,-2.1004,-2.81
1994,2,0.64435,-2.27
1994,3,-1.191,-2.62
1994,4,-0.15725,-2.5
1994,5,-0.32029,-2.42
1994,6,0.2258,-2.05
1994,7,-0.39884,-2.06
1994,8,-0.71,-2.41
1994,9,-0.47754,-2.64
1994,10,1.6332,0.56
1994,11,0.88333,0.99
1994,12,1.161,1.26
1995,1,0.14957,1.22
1995,2,0.13435,0.98
1995,3,0.68899,1.16
1995,4,0.012754,1.16
1995,5,-0.85029,0.59
1995,6,0.2558,0.56
1995,7,0.37116,0.61
1995,8,0.5,0.91
1995,9,0.082464,0.7
1995,10,1.1332,1.14
1995,11,4.8233,2.54
1995,12,0.47101,2.42
1996,1,0.64957,2.41
1996,2,3.0743,3.3
1996,3,-2.251,2.08
1996,4,2.5428,3.1
1996,5,1.1197,3.59
1996,6,-0.7442,2.93
1996,7,-0.20884,2.55
1996,8,-0.5,1.91
1996,9,0.27246,1.84
1996,10,1.9832,2.4
1996,11,0.64333,2.53
1996,12,5.051,3.98
1997,1,1.2196,3.98
1997,2,-0.92565,3.19
1997,3,3.769,4.42
1997,4,0.94275,4.58
1997,5,0.36971,4.25
1997,6,1.0058,4.37
1997,7,0.75116,4.79
1997,8,-0.04,4.6
1997,9,2.0325,5.03
1997,10,2.9132,5.85
1997,11,-1.9667,-0.47
1997,12,-2.319,-1.25
1998,1,1.9596,-0.5
1998,2,0.0043478,-0.6
1998,3,-0.42101,-0.76
1998,4,-1.3972,-1.29
1998,5,1.2797,-0.51
1998,6,-0.2842,-0.58
1998,7,0.14116,-0.36
1998,8,-0.92,-0.97
1998,9,-1.1875,-1.72
1998,10,-1.0968,-2.02
1998,11,3.7333,1.12
1998,12,3.481,2.17
1999,1,1.2796,2.32
1999,2,5.2943,3.93
1999,3,0.038986,3.59
1999,4,-1.5772,2.66
1999,5,0.11971,2.7
1999,6,-0.034203,2.52
1999,7,0.051159,2.62
1999,8,0.18,2.62
1999,9,-1.4875,-0.74
1999,10,-0.36681,-0.77
1999,11,1.9333,-0.13
1999,12,0.55101,-0.02
2000,1,-0.16043,-0.01
2000,2,-0.35565,-0.22
2000,3,-0.53101,-0.38
2000,4,-0.74725,-0.74
2000,5,0.67971,0.46
2000,6,0.2458,0.56
2000,7,-0.24884,0.65
2000,8,-0.73,-0.33
2000,9,0.12246,-0.27
2000,10,-0.92681,-0.57
2000,11,-3.2867,-1.33
2000,12,-3.169,-2.31
2001,1,-3.2704,-2.97
2001,2,-2.5557,-3.58
2001,3,-0.91101,-3.59
2001,4,0.22275,0.28
2001,5,-0.46029,0.06
2001,6,0.5858,0.42
2001,7,-0.19884,0.48
2001,8,0.3,0.62
2001,9,-1.0575,-0.64
2001,10,0.74319,0.31
2001,11,1.3633,0.74
2001,12,1.081,1.01
2002,1,1.0796,1.25
2002,2,-0.40565,0.92
2002,3,-0.011014,1.01
2002,4,0.19275,1.11
2002,5,-0.38029,0.02
2002,6,-0.084203,-0.08
2002,7,-0.37884,-0.29
2002,8,-0.82,-0.82
2002,9,-1.0575,-1.35
2002,10,-3.2168,-2.4
2002,11,-2.5067,-2.96
2002,12,0.78101,0.17
2003,1,2.0096,0.7
2003,2,-2.1457,-0.86
2003,3,2.619,1
2003,4,0.80275,1.39
2003,5,-0.90029,-0.31
2003,6,-1.3742,-1.1
2003,7,-0.78884,-2.08
2003,8,-0.84,-2.74
2003,9,-0.61754,-2.99
2003,10,2.4632,-2
2003,11,0.0033333,-1.57
2003,12,-1.069,-1.8
2004,1,-0.050435,-1.58
2004,2,-1.4357,-2.02
2004,3,-1.241,-2.45
2004,4,-1.6872,-3.08
2004,5,0.67971,-2.44
2004,6,-0.2642,-2.39
2004,7,-0.52884,-2.57
2004,8,2.08,-1.39
2004,9,0.96246,-0.8
2004,10,-0.046812,-0.76
2004,11,-2.5167,-1.39
2004,12,-1.619,-1.89
2005,1,-1.6704,-2.13
2005,2,-3.5257,-3.29
2005,3,-0.081014,-3.11
2005,4,0.33275,0.18
2005,5,1.2597,0.72
2005,6,0.1358,0.8
2005,7,0.16116,1.12
2005,8,-0.64,0.73
2005,9,-0.25754,0.52
2005,10,0.29319,0.53
2005,11,-0.82667,0.35
2005,12,0.14101,0.34
2006,1,5.5296,1.89
2006,2,-1.0657,-0.39
2006,3,-0.99101,-0.7
2006,4,-0.10725,-0.62
2006,5,-0.01029,-0.53
2006,6,0.3358,-0.36
2006,7,-0.54884,-0.58
2006,8,-0.95,-1.22
2006,9,-0.67754,-1.58
2006,10,-2.0468,-2.24
2006,11,7.2033,2.24
2006,12,0.27101,2.07
2007,1,-1.1404,-0.28
2007,2,-0.025652,-0.35
2007,3,0.78899,-0.08
2007,4,-0.90725,-0.39
2007,5,-0.96029,-0.77
2007,6,-0.2142,-0.85
2007,7,0.13116,-0.94
2007,8,-0.43,-1.2
2007,9,-0.41754,-1.35
2007,10,0.20319,-1.13
2007,11,-2.3367,-1.61
2007,12,2.231,-0.71
2008,1,-0.46043,-0.72
2008,2,-0.98565,-1.09
2008,3,-0.44101,-1.03
2008,4,-0.74725,-0.95
2008,5,-0.80029,-1.2
2008,6,-0.014203,-1.07
2008,7,-0.44884,-1.27
2008,8,1,-0.67
2008,9,-1.1975,-1.25
2008,10,-1.4968,-1.68
2008,11,0.53333,-1.38
2008,12,-0.86899,-1.56
2009,1,-0.020435,-1.35
2009,2,-2.6557,-2.19
2009,3,0.41899,-1.59
2009,4,-0.37725,-1.46
2009,5,0.73971,-0.88
2009,6,-0.9342,-1.27
2009,7,-0.26884,-1.44
2009,8,-0.27,-1.63
2009,9,-0.19754,-1.75
2009,10,1.7132,0.68
2009,11,1.6233,1.22
2009,12,-3.189,-1.12
2010,1,-0.010435,-1.05
2010,2,-1.2557,-1.58
2010,3,-0.75101,-1.77
2010,4,1.0028,0.59
2010,5,1.8997,1.69
2010,6,1.3858,2.32
2010,7,-0.51884,2.32
2010,8,-0.39,2.1
2010,9,1.6125,2.65
2010,10,0.43319,2.66
2010,11,-0.52667,2.41
2010,12,1.131,2.52
2011,1,0.27957,2.4
2011,2,-0.54565,1.97
2011,3,3.339,3.17
2011,4,1.6328,3.96
2011,5,1.7097,4.64
2011,6,-0.4542,4.07
2011,7,0.13116,3.97
2011,8,-0.93,-0.35
2011,9,-0.55754,-0.77
2011,10,-0.51681,-0.9
2011,11,-0.20667,-0.76
2011,12,-3.379,-1.86
2012,1,0.099565,0.08
2012,2,0.12435,0.06
2012,3,3.399,1.52
2012,4,0.89275,1.82
2012,5,-0.07029,1.74
2012,6,2.0358,2.69
2012,7,0.50116,3.25
2012,8,-1.03,2.79
2012,9,-1.6875,1.57
2012,10,2.6132,2.34
2012,11,1.0033,2.51
2012,12,1.671,2.79
2013,1,-2.2804,-0.62
2013,2,-1.8757,-1.32
2013,3,-0.72101,-1.49
2013,4,1.1928,0.67
2013,5,0.62971,0.92
2013,6,0.3658,1.02
2013,7,-0.76884,0.75
2013,8,0.47,0.75
2013,9,3.7525,2.32
2013,10,-2.4868,-0.52
2013,11,-2.2767,-1.06
2013,12,-3.639,-2.23
2014,1,-1.8304,-2.53
2014,2,1.6443,0.62
2014,3,3.309,1.87
2014,4,0.74275,2.08
2014,5,0.05971,0
2014,6,-0.1642,-0.08
2014,7,-0.15884,-0.25
2014,8,0.34,-0.25
2014,9,-0.047536,-0.43
2014,10,2.1532,0.58
2014,11,-0.20667,0.61
2014,12,-0.34899,-0.2
2015,1,-1.2904,-0.58
2015,2,-0.33565,-0.9
2015,3,-0.15101,-1.09
2015,4,-1.2172,-1.48
2015,5,-0.87029,-1.86
2015,6,-1.4242,-2.79
2015,7,-0.50884,-3.76
2015,8,0.2,-3.73
2015,9,-0.34754,-3.61
2015,10,0.32319,-3.41
2015,11,0.71333,0.31
2015,12,4.841,1.91
2016,1,0.56957,1.91
2016,2,0.44435,1.66
2016,3,2.519,2.41
2016,4,-1.4372,-0.93
2016,5,-0.84029,-1.39
2016,6,-0.064203,-1.56
2016,7,0.23116,-1.66
2016,8,-0.77,-2.09
2016,9,-0.17754,-2.03
2016,10,6.4332,2.31
2016,11,0.56333,2.28
2016,12,-1.649,1.45
2017,1,-2.6104,0.59
2017,2,2.5343,1.47
2017,3,4.079,2.97
2017,4,1.8428,3.67
2017,5,0.03971,0.02
