%Arkansas hybrid precipitation index. alpha = 0; beta = 0; lagmax = 100
%year,month,tau=3,tau=10,tau=20,tau=36
1966,6,-1.02,-0.66,-0.59,-0.52
1966,7,-0.84,-0.63,-0.58,-0.51
1966,8,0.31,-0.26,-0.39,-0.40
1966,9,-0.15,-0.37,-0.44,-0.43
1966,10,-0.43,-0.44,-0.47,-0.46
1966,11,-1.01,-0.63,-0.57,-0.52
1966,12,-0.80,-0.60,-0.56,-0.52
1967,1,-1.19,-0.75,-0.64,-0.57
1967,2,-1.35,-0.84,-0.69,-0.61
1967,3,-1.62,-0.98,-0.77,-0.66
1967,4,-1.04,-0.85,-0.71,-0.63
1967,5,-0.04,-0.53,-0.55,-0.53
1967,6,-0.08,-0.50,-0.54,-0.52
1967,7,0.22,-0.36,-0.46,-0.48
1967,8,-0.01,-0.38,-0.47,-0.48
1967,9,0.07,-0.32,-0.43,-0.46
1967,10,0.28,-0.21,-0.37,-0.42
1967,11,-0.58,-0.45,-0.49,-0.49
1967,12,0.13,-0.22,-0.37,-0.42
1968,1,0.35,-0.12,-0.31,-0.38
1968,2,-0.30,-0.29,-0.39,-0.43
1968,3,0.19,-0.13,-0.30,-0.38
1968,4,0.26,-0.08,-0.26,-0.35
1968,5,1.42,0.35,-0.04,-0.22
1968,6,0.99,0.30,-0.04,-0.21
1968,7,0.56,0.23,-0.06,-0.22
1968,8,0.27,0.16,-0.08,-0.23
1968,9,0.78,0.34,0.02,-0.16
1968,10,0.24,0.20,-0.03,-0.18
1968,11,0.55,0.31,0.03,-0.14
1968,12,0.81,0.42,0.10,-0.10
1969,1,1.17,0.58,0.20,-0.03
1969,2,0.74,0.49,0.18,-0.04
1969,3,0.22,0.34,0.11,-0.07
1969,4,-0.11,0.22,0.06,-0.09
1969,5,-0.61,0.02,-0.03,-0.15
1969,6,-0.43,0.02,-0.03,-0.14
1969,7,-0.42,-0.02,-0.05,-0.15
1969,8,-0.58,-0.11,-0.09,-0.18
1969,9,-1.00,-0.30,-0.19,-0.23
1969,10,-0.57,-0.22,-0.16,-0.21
1969,11,-0.63,-0.28,-0.19,-0.23
1969,12,0.03,-0.09,-0.10,-0.18
1970,1,-0.74,-0.34,-0.22,-0.25
1970,2,-0.65,-0.34,-0.23,-0.25
1970,3,-0.27,-0.24,-0.19,-0.22
1970,4,0.37,-0.03,-0.08,-0.16
1970,5,-0.34,-0.23,-0.18,-0.22
1970,6,-0.20,-0.20,-0.17,-0.22
1970,7,-0.37,-0.25,-0.20,-0.24
1970,8,0.11,-0.10,-0.12,-0.19
1970,9,0.47,0.04,-0.05,-0.14
1970,10,1.13,0.30,0.09,-0.05
1970,11,0.22,0.08,-0.01,-0.11
1970,12,-0.17,-0.04,-0.07,-0.14
1971,1,-0.47,-0.16,-0.13,-0.17
1971,2,-0.39,-0.16,-0.13,-0.18
1971,3,-0.91,-0.35,-0.23,-0.24
1971,4,-1.34,-0.55,-0.34,-0.30
1971,5,-1.24,-0.59,-0.37,-0.31
1971,6,-1.24,-0.65,-0.41,-0.34
1971,7,-0.28,-0.39,-0.29,-0.26
1971,8,0.05,-0.27,-0.23,-0.23
1971,9,-0.51,-0.42,-0.31,-0.27
1971,10,-0.88,-0.56,-0.39,-0.32
1971,11,-1.15,-0.68,-0.46,-0.36
1971,12,0.03,-0.33,-0.29,-0.26
1972,1,-0.15,-0.35,-0.30,-0.27
1972,2,-0.86,-0.57,-0.42,-0.34
1972,3,-1.12,-0.69,-0.48,-0.37
1972,4,-1.18,-0.75,-0.52,-0.40
1972,5,-1.54,-0.91,-0.62,-0.46
1972,6,-1.32,-0.90,-0.62,-0.47
1972,7,-0.89,-0.79,-0.58,-0.45
1972,8,-0.87,-0.80,-0.60,-0.46
1972,9,-0.07,-0.53,-0.47,-0.40
1972,10,0.64,-0.25,-0.33,-0.31
1972,11,1.35,0.07,-0.16,-0.21
1972,12,1.30,0.18,-0.09,-0.16
1973,1,1.21,0.26,-0.04,-0.14
1973,2,0.74,0.19,-0.06,-0.15
1973,3,2.01,0.67,0.20,0.01
1973,4,2.90,1.09,0.44,0.17
1973,5,2.07,0.99,0.42,0.16
1973,6,1.72,0.97,0.44,0.18
1973,7,1.34,0.92,0.44,0.18
1973,8,0.58,0.70,0.35,0.14
1973,9,1.17,0.89,0.46,0.22
1973,10,1.31,0.96,0.52,0.26
1973,11,1.92,1.20,0.67,0.36
1973,12,1.64,1.17,0.68,0.37
1974,1,1.59,1.20,0.72,0.41
1974,2,0.86,0.99,0.64,0.36
1974,3,0.05,0.71,0.51,0.30
1974,4,0.29,0.73,0.53,0.32
1974,5,0.23,0.67,0.51,0.32
1974,6,1.37,1.01,0.69,0.43
1974,7,0.63,0.79,0.60,0.38
1974,8,1.20,0.97,0.70,0.46
1974,9,1.68,1.15,0.80,0.52
1974,10,1.02,0.98,0.73,0.49
1974,11,1.34,1.09,0.81,0.55
1974,12,0.61,0.87,0.70,0.49
1975,1,0.40,0.77,0.66,0.47
1975,2,0.75,0.86,0.71,0.51
1975,3,1.63,1.14,0.87,0.61
1975,4,0.80,0.91,0.76,0.56
1975,5,0.84,0.91,0.77,0.57
1975,6,0.87,0.92,0.78,0.59
1975,7,0.52,0.79,0.72,0.56
1975,8,0.69,0.83,0.75,0.59
1975,9,0.55,0.77,0.72,0.57
1975,10,-0.26,0.47,0.57,0.49
1975,11,-0.41,0.35,0.50,0.45
1975,12,-0.54,0.24,0.44,0.41
1976,1,-0.77,0.09,0.35,0.36
1976,2,-0.75,0.01,0.30,0.33
1976,3,-0.27,0.10,0.33,0.35
1976,4,-0.90,-0.15,0.19,0.27
1976,5,-0.72,-0.16,0.17,0.25
1976,6,0.09,0.06,0.26,0.31
1976,7,-0.23,-0.04,0.20,0.27
1976,8,-0.65,-0.20,0.11,0.21
1976,9,-0.63,-0.24,0.07,0.19
1976,10,-0.20,-0.13,0.11,0.20
1976,11,-0.99,-0.40,-0.04,0.11
1976,12,-1.37,-0.59,-0.15,0.04
1977,1,-1.23,-0.61,-0.19,0.01
1977,2,-1.30,-0.70,-0.25,-0.04
1977,3,-0.28,-0.41,-0.13,0.04
1977,4,-0.51,-0.48,-0.17,0.00
1977,5,-1.30,-0.74,-0.33,-0.10
1977,6,-0.91,-0.66,-0.31,-0.10
1977,7,-0.48,-0.55,-0.26,-0.08
1977,8,-0.28,-0.47,-0.24,-0.07
1977,9,0.59,-0.16,-0.09,0.02
1977,10,-0.31,-0.39,-0.21,-0.05
1977,11,0.11,-0.24,-0.15,-0.02
1977,12,-0.47,-0.41,-0.23,-0.07
1978,1,-0.06,-0.27,-0.17,-0.04
1978,2,-0.55,-0.42,-0.25,-0.09
1978,3,-0.63,-0.46,-0.28,-0.11
1978,4,-0.98,-0.59,-0.36,-0.16
1978,5,-0.22,-0.37,-0.26,-0.11
1978,6,-0.25,-0.37,-0.26,-0.11
1978,7,-0.49,-0.44,-0.30,-0.14
1978,8,-0.03,-0.29,-0.23,-0.10
1978,9,-0.34,-0.37,-0.28,-0.14
1978,10,-0.95,-0.57,-0.38,-0.20
1978,11,-0.03,-0.30,-0.25,-0.13
1978,12,0.59,-0.06,-0.13,-0.06
1979,1,0.67,0.03,-0.08,-0.04
1979,2,0.80,0.13,-0.03,-0.01
1979,3,0.77,0.19,0.01,0.01
1979,4,1.38,0.44,0.15,0.10
1979,5,2.09,0.77,0.34,0.21
1979,6,1.55,0.72,0.33,0.21
1979,7,1.52,0.79,0.38,0.25
1979,8,1.18,0.74,0.38,0.26
1979,9,0.89,0.69,0.37,0.26
1979,10,0.47,0.56,0.32,0.23
1979,11,0.18,0.46,0.28,0.21
1979,12,-0.08,0.35,0.23,0.18
1980,1,-0.29,0.23,0.18,0.15
1980,2,-0.84,0.00,0.06,0.09
1980,3,-0.28,0.11,0.11,0.12
1980,4,-0.32,0.06,0.09,0.11
1980,5,-0.15,0.08,0.10,0.11
1980,6,-0.53,-0.07,0.02,0.06
1980,7,-1.08,-0.30,-0.10,-0.01
1980,8,-1.51,-0.52,-0.22,-0.08
1980,9,-0.41,-0.25,-0.10,-0.01
1980,10,-0.41,-0.26,-0.11,-0.01
1980,11,-0.56,-0.32,-0.15,-0.04
1980,12,-1.20,-0.56,-0.28,-0.12
1981,1,-1.60,-0.76,-0.40,-0.19
1981,2,-1.29,-0.73,-0.40,-0.20
1981,3,-1.18,-0.75,-0.43,-0.23
1981,4,-1.52,-0.91,-0.53,-0.30
1981,5,-0.43,-0.60,-0.38,-0.22
1981,6,0.11,-0.40,-0.29,-0.18
1981,7,0.26,-0.30,-0.25,-0.15
1981,8,0.35,-0.22,-0.21,-0.14
1981,9,-0.30,-0.38,-0.30,-0.20
1981,10,0.32,-0.17,-0.19,-0.14
1981,11,-0.45,-0.38,-0.30,-0.21
1981,12,-1.34,-0.68,-0.46,-0.31
1982,1,-0.36,-0.42,-0.33,-0.24
1982,2,-0.54,-0.47,-0.37,-0.26
1982,3,-1.20,-0.70,-0.49,-0.34
1982,4,-0.76,-0.60,-0.45,-0.33
1982,5,-0.76,-0.61,-0.47,-0.34
1982,6,0.11,-0.34,-0.33,-0.27
1982,7,-0.23,-0.41,-0.37,-0.29
1982,8,-0.06,-0.33,-0.33,-0.27
1982,9,-0.74,-0.54,-0.44,-0.34
1982,10,-0.50,-0.47,-0.41,-0.32
1982,11,0.31,-0.21,-0.27,-0.25
1982,12,2.44,0.56,0.12,-0.02
1983,1,1.01,0.26,-0.01,-0.10
1983,2,0.64,0.20,-0.03,-0.11
1983,3,-0.05,0.02,-0.11,-0.16
1983,4,0.21,0.10,-0.06,-0.13
1983,5,0.80,0.31,0.05,-0.06
1983,6,0.58,0.28,0.05,-0.05
1983,7,0.01,0.12,-0.02,-0.10
1983,8,-0.46,-0.05,-0.10,-0.15
1983,9,-0.88,-0.23,-0.19,-0.20
1983,10,-0.90,-0.30,-0.23,-0.22
1983,11,-0.23,-0.13,-0.15,-0.18
1983,12,0.40,0.07,-0.04,-0.11
1984,1,-0.30,-0.13,-0.14,-0.17
1984,2,-0.02,-0.05,-0.10,-0.15
1984,3,0.17,0.01,-0.06,-0.12
1984,4,-0.14,-0.08,-0.11,-0.14
1984,5,0.42,0.10,-0.01,-0.08
1984,6,-0.19,-0.07,-0.10,-0.13
1984,7,-0.23,-0.09,-0.11,-0.13
1984,8,0.22,0.04,-0.04,-0.09
1984,9,0.29,0.08,-0.01,-0.07
1984,10,2.75,0.93,0.43,0.19
1984,11,2.42,0.99,0.49,0.23
1984,12,1.78,0.91,0.47,0.23
1985,1,1.07,0.76,0.41,0.20
1985,2,0.81,0.70,0.40,0.20
1985,3,0.77,0.70,0.41,0.22
1985,4,0.71,0.68,0.42,0.23
1985,5,-0.05,0.43,0.31,0.17
1985,6,-0.30,0.30,0.25,0.14
1985,7,-0.48,0.19,0.19,0.11
1985,8,-0.34,0.17,0.18,0.11
1985,9,-0.36,0.11,0.15,0.09
1985,10,0.25,0.27,0.23,0.15
1985,11,0.61,0.39,0.30,0.19
1985,12,0.06,0.23,0.22,0.15
1986,1,-0.89,-0.11,0.04,0.04
1986,2,-0.81,-0.16,0.01,0.02
1986,3,-1.23,-0.36,-0.10,-0.04
1986,4,-0.46,-0.18,-0.02,0.00
1986,5,-0.56,-0.24,-0.06,-0.02
1986,6,0.19,-0.02,0.04,0.04
1986,7,-0.59,-0.26,-0.08,-0.03
1986,8,-0.19,-0.16,-0.04,-0.01
1986,9,-0.28,-0.19,-0.06,-0.02
1986,10,0.18,-0.05,0.01,0.02
1986,11,0.50,0.08,0.07,0.06
1986,12,0.05,-0.03,0.01,0.03
1987,1,-0.34,-0.15,-0.05,-0.02
1987,2,0.54,0.12,0.09,0.07
1987,3,0.05,0.00,0.02,0.03
1987,4,-1.03,-0.36,-0.16,-0.08
1987,5,-0.81,-0.35,-0.17,-0.09
1987,6,-0.73,-0.36,-0.18,-0.10
1987,7,-0.71,-0.39,-0.21,-0.12
1987,8,-0.69,-0.42,-0.23,-0.14
1987,9,-0.62,-0.42,-0.24,-0.15
1987,10,-0.81,-0.50,-0.29,-0.19
1987,11,0.63,-0.05,-0.07,-0.06
1987,12,2.05,0.49,0.21,0.10
1988,1,1.14,0.34,0.14,0.06
1988,2,0.55,0.22,0.09,0.03
1988,3,0.48,0.22,0.10,0.04
1988,4,-0.04,0.07,0.03,0.00
