%year,month,precipitation anomalies, PDSI
1975,9,0.18174,3.67
1975,10,-2.31,-0.47
1975,11,-0.77565,-0.64
1975,12,-0.86493,-0.79
1976,1,-1.3672,-1.09
1976,2,-0.70087,-1.44
1976,3,0.95304,-1.14
1976,4,-2.4861,-1.71
1976,5,-0.25783,0.19
1976,6,2.1286,1
1976,7,-1.0452,0.01
1976,8,-1.7051,-0.31
1976,9,-0.59826,-0.32
1976,10,0.91,0.53
1976,11,-2.9857,-0.52
1976,12,-2.3349,-1.04
1977,1,-0.87725,-1.14
1977,2,-1.4809,-1.53
1977,3,2.303,-0.79
1977,4,-1.0861,-1.09
1977,5,-3.2978,-1.98
1977,6,0.088551,-2
1977,7,0.58478,-1.88
1977,8,0.22493,-1.71
1977,9,2.7817,-0.77
1977,10,-2.57,-1.19
1977,11,1.1643,-0.83
1977,12,-1.9449,-1.17
1978,1,0.98275,-0.75
1978,2,-1.7909,-1.16
1978,3,-0.81696,-1.17
1978,4,-1.8661,-1.63
1978,5,1.6822,-0.94
1978,6,-0.32145,-0.93
1978,7,-1.0752,-1.25
1978,8,1.1149,-0.88
1978,9,-1.1283,-1.21
1978,10,-2.49,-1.71
1978,11,2.3043,0.41
1978,12,2.1551,1.1
1979,1,0.88275,1.26
1979,2,1.1291,1.52
1979,3,0.70304,1.55
1979,4,2.9039,2.27
1979,5,3.8822,3.21
1979,6,0.19855,3.03
1979,7,1.4448,3.51
1979,8,0.31493,3.64
1979,9,0.15174,3.58
1979,10,-0.6,0.02
1979,11,-0.55565,0.04
1979,12,-0.71493,-0.1
1980,1,-0.84725,-0.36
1980,2,-2.2209,-0.99
1980,3,1.123,-0.43
1980,4,-0.40609,-0.38
1980,5,0.27217,-0.22
1980,6,-1.4914,-0.71
1980,7,-2.4752,-1.84
1980,8,-2.5851,-3.06
1980,9,2.3517,-2.24
1980,10,-0.41,-1.93
1980,11,-0.92565,-1.93
1980,12,-2.8049,-2.48
1981,1,-2.6172,-2.94
1981,2,-0.51087,-2.85
1981,3,-0.91696,-2.82
1981,4,-2.3861,-3.41
1981,5,2.3522,0.72
1981,6,1.4786,1.06
1981,7,0.62478,1.38
1981,8,0.58493,1.71
1981,9,-1.9583,1.13
1981,10,1.88,1.73
1981,11,-2.3957,-0.47
1981,12,-3.5649,-1.29
1982,1,2.1128,-0.57
1982,2,-1.0109,-0.81
1982,3,-2.857,-1.7
1982,4,0.36391,0.28
1982,5,-0.76783,-0.27
1982,6,2.3086,0.86
1982,7,-1.0852,0.68
1982,8,0.37493,0.83
1982,9,-2.4683,0.11
1982,10,0.12,0.23
1982,11,2.3443,0.85
1982,12,7.8451,3.02
1983,1,-2.6072,-0.72
1983,2,-0.31087,-0.8
1983,3,-1.777,-1.21
1983,4,0.86391,0.51
1983,5,2.3022,1.23
1983,6,0.0085507,1.23
1983,7,-1.4252,-0.3
1983,8,-1.6451,-1.07
1983,9,-1.9483,-1.62
1983,10,-0.94,-1.77
1983,11,1.4743,0.24
1983,12,1.9951,0.93
1984,1,-2.0672,0.3
1984,2,0.68913,0.38
1984,3,0.63304,0.6
1984,4,-0.90609,0.39
1984,5,1.8122,0.96
1984,6,-1.7314,0.29
1984,7,-0.32522,0.15
1984,8,1.3449,0.6
1984,9,0.48174,0.84
1984,10,8.98,3.42
1984,11,1.5643,3.79
1984,12,0.18507,0
1985,1,-0.72725,-0.17
1985,2,0.14913,0.07
1985,3,0.67304,0.13
1985,4,0.56391,0.24
1985,5,-1.9878,-0.49
1985,6,-0.91145,-0.71
1985,7,-0.93522,-0.97
