%Arkansas hybrid precipitation index. alpha = 0; beta = 0; lagmax = 100
%year,month,tau=3,tau=10,tau=20,tau=36
1975,8,0.46,0.25,0.24,0.21
1975,9,-0.16,0.06,0.14,0.15
1975,10,0.87,0.39,0.30,0.25
1975,11,0.82,0.42,0.32,0.27
1975,12,1.30,0.62,0.43,0.33
1976,1,1.06,0.60,0.43,0.34
1976,2,1.02,0.63,0.46,0.35
1976,3,0.63,0.54,0.42,0.34
1976,4,0.30,0.44,0.37,0.31
1976,5,0.11,0.36,0.33,0.29
1976,6,-0.07,0.28,0.29,0.26
1976,7,-0.02,0.26,0.28,0.26
1976,8,0.50,0.41,0.36,0.31
1976,9,0.06,0.27,0.29,0.27
1976,10,-0.54,0.05,0.17,0.20
1976,11,-1.72,-0.40,-0.07,0.06
1976,12,-2.32,-0.73,-0.25,-0.06
1977,1,-2.88,-1.07,-0.45,-0.18
1977,2,-2.55,-1.13,-0.51,-0.23
1977,3,-1.68,-0.97,-0.46,-0.21
1977,4,-1.73,-1.06,-0.53,-0.26
1977,5,-0.97,-0.87,-0.46,-0.23
1977,6,-0.92,-0.86,-0.47,-0.24
1977,7,-0.73,-0.80,-0.46,-0.24
1977,8,-0.08,-0.58,-0.36,-0.19
1977,9,0.32,-0.40,-0.28,-0.14
1977,10,-0.13,-0.48,-0.33,-0.18
1977,11,0.20,-0.34,-0.26,-0.14
1977,12,1.00,-0.02,-0.10,-0.05
1978,1,0.33,-0.14,-0.16,-0.09
1978,2,-0.04,-0.22,-0.20,-0.11
1978,3,-0.45,-0.34,-0.27,-0.15
1978,4,-0.12,-0.24,-0.22,-0.12
1978,5,0.03,-0.18,-0.19,-0.11
1978,6,-0.15,-0.22,-0.21,-0.12
1978,7,0.05,-0.15,-0.17,-0.10
1978,8,0.40,-0.01,-0.10,-0.06
1978,9,0.86,0.18,0.01,0.00
1978,10,-0.23,-0.12,-0.14,-0.09
1978,11,-0.71,-0.29,-0.23,-0.14
1978,12,-1.35,-0.55,-0.36,-0.22
1979,1,-2.11,-0.88,-0.54,-0.33
1979,2,-0.78,-0.55,-0.39,-0.25
1979,3,-1.10,-0.68,-0.46,-0.29
1979,4,-0.90,-0.65,-0.46,-0.30
1979,5,-0.84,-0.66,-0.47,-0.32
1979,6,-0.87,-0.68,-0.50,-0.34
1979,7,-0.58,-0.60,-0.47,-0.33
1979,8,-0.35,-0.52,-0.43,-0.31
1979,9,-0.20,-0.46,-0.40,-0.30
1979,10,0.01,-0.36,-0.36,-0.27
1979,11,-1.02,-0.67,-0.52,-0.37
1979,12,0.06,-0.34,-0.35,-0.28
1980,1,-0.21,-0.40,-0.38,-0.30
1980,2,0.19,-0.24,-0.30,-0.26
1980,3,-0.07,-0.29,-0.32,-0.27
1980,4,-0.02,-0.25,-0.30,-0.26
1980,5,0.05,-0.21,-0.28,-0.25
1980,6,0.17,-0.14,-0.24,-0.23
1980,7,0.07,-0.15,-0.24,-0.24
1980,8,0.04,-0.13,-0.23,-0.23
1980,9,0.22,-0.06,-0.19,-0.21
1980,10,-0.57,-0.30,-0.30,-0.28
1980,11,-0.06,-0.15,-0.23,-0.23
1980,12,0.50,0.05,-0.12,-0.17
1981,1,-0.80,-0.35,-0.32,-0.29
1981,2,-0.17,-0.18,-0.23,-0.23
1981,3,-0.58,-0.32,-0.30,-0.27
1981,4,-0.12,-0.19,-0.23,-0.24
1981,5,0.06,-0.12,-0.20,-0.21
1981,6,0.52,0.05,-0.10,-0.15
1981,7,0.43,0.07,-0.09,-0.14
1981,8,0.10,-0.01,-0.12,-0.15
1981,9,0.31,0.07,-0.07,-0.13
1981,10,0.54,0.17,-0.01,-0.09
1981,11,0.01,0.03,-0.08,-0.12
1981,12,0.41,0.16,0.00,-0.08
1982,1,0.67,0.27,0.06,-0.04
1982,2,1.20,0.49,0.18,0.04
1982,3,0.73,0.40,0.15,0.02
1982,4,0.71,0.42,0.17,0.03
1982,5,0.13,0.26,0.10,-0.02
1982,6,0.00,0.20,0.08,-0.03
1982,7,0.19,0.24,0.11,-0.01
1982,8,0.11,0.21,0.10,-0.01
1982,9,0.26,0.25,0.12,0.00
1982,10,0.40,0.30,0.15,0.03
1982,11,-0.09,0.15,0.08,-0.01
1982,12,0.22,0.23,0.13,0.02
1983,1,0.57,0.35,0.19,0.06
1983,2,0.91,0.48,0.27,0.12
1983,3,1.19,0.62,0.35,0.17
1983,4,0.63,0.48,0.29,0.14
1983,5,0.27,0.38,0.25,0.11
1983,6,0.39,0.41,0.27,0.13
1983,7,0.89,0.57,0.36,0.19
1983,8,0.75,0.55,0.36,0.20
1983,9,0.62,0.53,0.36,0.20
1983,10,-0.13,0.29,0.25,0.14
1983,11,1.30,0.73,0.47,0.28
1983,12,0.48,0.51,0.37,0.22
1984,1,0.19,0.41,0.33,0.20
1984,2,0.06,0.34,0.30,0.18
1984,3,0.14,0.34,0.30,0.18
1984,4,0.24,0.36,0.31,0.19
1984,5,0.72,0.51,0.39,0.24
1984,6,0.88,0.58,0.43,0.27
1984,7,0.43,0.46,0.38,0.24
1984,8,0.17,0.37,0.33,0.22
1984,9,0.19,0.36,0.33,0.22
1984,10,0.20,0.34,0.32,0.22
1984,11,0.91,0.57,0.44,0.30
1984,12,0.21,0.37,0.34,0.24
1985,1,-1.41,-0.19,0.06,0.07
1985,2,-1.35,-0.29,0.00,0.04
1985,3,-1.29,-0.37,-0.06,0.02
1985,4,-1.07,-0.38,-0.08,0.01
1985,5,-0.99,-0.42,-0.11,-0.01
1985,6,-0.67,-0.37,-0.10,0.00
1985,7,-0.69,-0.40,-0.13,-0.02
1985,8,-0.57,-0.39,-0.14,-0.03
1985,9,-0.15,-0.27,-0.09,0.00
1985,10,0.55,-0.02,0.03,0.07
1985,11,-0.10,-0.18,-0.06,0.02
1985,12,-1.43,-0.62,-0.29,-0.13
1986,1,-0.70,-0.46,-0.22,-0.09
1986,2,-0.13,-0.29,-0.14,-0.05
1986,3,-0.35,-0.35,-0.18,-0.08
1986,4,-0.36,-0.35,-0.19,-0.09
1986,5,-0.17,-0.29,-0.17,-0.08
1986,6,-0.40,-0.35,-0.21,-0.10
1986,7,-0.20,-0.29,-0.18,-0.09
1986,8,-0.40,-0.35,-0.22,-0.11
1986,9,0.07,-0.20,-0.15,-0.08
1986,10,-0.35,-0.31,-0.21,-0.11
1986,11,0.13,-0.15,-0.13,-0.07
1986,12,-0.69,-0.40,-0.26,-0.15
1987,1,-0.69,-0.43,-0.28,-0.17
1987,2,-0.91,-0.53,-0.34,-0.20
1987,3,-0.39,-0.39,-0.28,-0.17
1987,4,-0.45,-0.41,-0.29,-0.18
1987,5,-0.22,-0.34,-0.26,-0.15
1987,6,-0.44,-0.40,-0.30,-0.18
1987,7,-0.16,-0.31,-0.25,-0.16
1987,8,-0.28,-0.34,-0.27,-0.17
1987,9,-0.58,-0.43,-0.32,-0.20
1987,10,-1.44,-0.73,-0.48,-0.30
1987,11,-1.86,-0.94,-0.61,-0.38
1987,12,-0.92,-0.71,-0.50,-0.33
1988,1,-1.20,-0.83,-0.57,-0.37
1988,2,-1.49,-0.96,-0.65,-0.43
1988,3,-0.77,-0.77,-0.57,-0.38
1988,4,-0.25,-0.59,-0.49,-0.34
1988,5,0.02,-0.47,-0.43,-0.31
1988,6,0.01,-0.43,-0.41,-0.31
1988,7,-0.04,-0.40,-0.40,-0.30
1988,8,-0.25,-0.44,-0.42,-0.32
1988,9,-0.08,-0.37,-0.38,-0.30
1988,10,-0.48,-0.47,-0.44,-0.33
